module,bugtitle,slevel,priority,bugstatus,activatecount,creator,creatortime,designate,designatetime,solver,solution,solvertime,closetime
app端(#42),【重庆政企】设备添加-设备重复添加失败,2,1,已关闭,0,黎兴,2018/6/5,Closed,2018/6/6,康忠飞,已解决,2018/6/6,2018/6/6
app端(#42),【重庆政企】设备换码-设备换码异常,2,2,已关闭,0,黎兴,2018/6/5,Closed,2018/6/6,康忠飞,已解决,2018/6/6,2018/6/6
app端(#42),【重庆政企】用户端-故障申报故障描述包含表情时，故障申报异常，无法提交工单,3,3,已关闭,0,黎兴,2018/6/6,Closed,2018/6/15,王琪,已解决,2018/6/11,2018/6/15
app端(#42),【陕西移动】用户端-排障教程-常见配置及设置-目录一布局美观，换行后，第二行的字体应该和第一行的开始进行对齐,4,4,已关闭,0,黎兴,2018/6/13,Closed,2018/6/13,孙艳强,外部原因,2018/6/13,2018/6/13
app端(#42),【重庆政企二期】删除投诉问题接口-传入不存在的id，后台也会返回删除成功的结果,3,3,已关闭,0,黎兴,2018/6/28,Closed,2018/7/3,杨滨舟,不予解决,2018/7/3,2018/7/3
app端(#42),【重庆政企二期】技术人员端-设备列表，没显示有教程链接，不符合需求,3,2,已关闭,0,黎兴,2018/7/10,Closed,2018/7/12,康忠飞,已解决,2018/7/11,2018/7/12
app端(#42),【重庆政企二期】关键人登录-不存在的关键人号码获取验证时，提示有误,3,3,已关闭,0,黎兴,2018/7/3,Closed,2018/7/13,康忠飞,已解决,2018/7/10,2018/7/13
app端(#42),【重庆政企二期】关键人登陆-手机号码和验证码为空时，提交登录操作，前端无任何提示信息，后台接口返回有对应的提示信息,3,3,已关闭,0,黎兴,2018/7/4,Closed,2018/7/13,康忠飞,已解决,2018/7/10,2018/7/13
app端(#42),【重庆政企二期】关键人页面-公司信息显示不正确,3,2,已关闭,0,黎兴,2018/7/4,Closed,2018/7/11,康忠飞,已解决,2018/7/10,2018/7/11
app端(#42),【重庆政企二期】关键人页面-业务数量的产品规格数据显示异常,3,3,已关闭,0,黎兴,2018/7/4,Closed,2018/7/11,康忠飞,已解决,2018/7/10,2018/7/11
app端(#42),【重庆政企二期】关键人页面-关键人页面无法查看得到相关的推送文章消息,3,3,已关闭,0,黎兴,2018/7/4,Closed,2018/7/11,康忠飞,已解决,2018/7/10,2018/7/11
app端(#42),【重庆政企二期】我要投诉-问题选项未填写时，也可以提交投诉信息（默认值为满意的话，应该给予标明）,3,3,已关闭,0,黎兴,2018/7/4,Closed,2018/7/11,康忠飞,已解决,2018/7/10,2018/7/11
app端(#42),【重庆政企二期】我要投诉-已删除的投诉配置问题，还可以显示出来,3,3,已关闭,0,黎兴,2018/7/4,Closed,2018/7/11,杨滨舟,已解决,2018/7/10,2018/7/11
app端(#42),【重庆政企二期】我的需求-主题可以输入空格提交,3,3,已关闭,0,黎兴,2018/7/4,Closed,2018/7/13,康忠飞,已解决,2018/7/10,2018/7/13
app端(#42),【重庆政企二期】我有需求-前端未对主题输入框长度做限制,3,3,已关闭,1,黎兴,2018/7/4,Closed,2018/7/13,康忠飞,已解决,2018/7/11,2018/7/13
app端(#42),【重庆政企二期】关键人管理-账号已禁用后还可以进行登录操作,3,3,已关闭,0,黎兴,2018/7/5,Closed,2018/7/13,朱健,无法重现,2018/7/11,2018/7/13
app端(#42),【重庆政企二期】关键人首页-正在开通、历史开通、在途故障、历史故障字段数据无法渲染出来,3,3,已关闭,0,黎兴,2018/7/5,Closed,2018/7/10,康忠飞,外部原因,2018/7/10,2018/7/10
app端(#42),【重庆政企二期】关键人文章列表-文章列表文章显示的是不符合需求,3,3,已关闭,1,黎兴,2018/7/9,Closed,2018/7/23,康忠飞,已解决,2018/7/11,2018/7/23
app端(#42),【重庆政企二期】关键人端-关键人扫码异常，扫码后从登录从session获取会跳转到用户端,3,3,已关闭,1,黎兴,2018/7/9,Closed,2018/7/13,康忠飞,已解决,2018/7/11,2018/7/13
app端(#42),【重庆政企二期】关键人-我有需求页面显示异常,3,3,已关闭,1,黎兴,2018/7/9,Closed,2018/7/13,康忠飞,已解决,2018/7/12,2018/7/13
app端(#42),【重庆政企二期】关键人管理-页面样式显示不符合需求,3,3,已关闭,5,黎兴,2018/7/10,Closed,2018/7/23,杨滨舟,已解决,2018/7/23,2018/7/23
app端(#42),【重庆政企二期】技术人员端-工单列表数据显示异常，没有按照需求显示,3,2,已关闭,1,黎兴,2018/7/10,Closed,2018/7/13,杨滨舟,已解决,2018/7/13,2018/7/13
app端(#42),【重庆政企二期】技术人员端-业务号码列表显示不符合需求,3,3,已关闭,0,黎兴,2018/7/10,Closed,2018/7/12,康忠飞,已解决,2018/7/11,2018/7/12
app端(#42),【重庆政企二期】技术人员端-业务号码全选中后，不可以取消全选状态,3,3,已关闭,0,黎兴,2018/7/11,Closed,2018/7/13,康忠飞,已解决,2018/7/11,2018/7/13
app端(#42),【重庆政企二期】关键人首页-业务数量列表显示的数据不符合需求，无法查看业务号码对应的IP地址,3,3,已关闭,0,黎兴,2018/7/11,Closed,2018/7/13,康忠飞,已解决,2018/7/11,2018/7/13
app端(#42),【重庆政企二期】关键人首页-正在开通列表显示不符合需求，样式不对，时间格式有误,3,3,已关闭,1,黎兴,2018/7/11,Closed,2018/7/17,朱健,已解决,2018/7/16,2018/7/17
app端(#42),【重庆政企二期】关键人首页-切换到“正在开通”、“历史开通”、“在途故障”、“历史故障”时，企业名称会消失,3,3,已关闭,0,黎兴,2018/7/11,Closed,2018/7/13,康忠飞,已解决,2018/7/11,2018/7/13
app端(#42),【重庆政企二期】关键人首页-查看在途故障会显示出历史故障单信息，反之,3,3,已关闭,1,黎兴,2018/7/11,Closed,2018/7/13,康忠飞,已解决,2018/7/13,2018/7/13
app端(#42),【重庆政企二期】技术人员端-设备教程为空时，查看设备教程设备教程页面没有给出必要的提示信息,3,3,已关闭,0,黎兴,2018/7/12,Closed,2018/7/13,康忠飞,已解决,2018/7/12,2018/7/13
app端(#42),【重庆政企二期】技术人员端-工单详情页面时间格式显示异常（重现方式，清除缓存重新进入在查看）,3,2,已关闭,0,黎兴,2018/7/12,Closed,2018/7/13,康忠飞,已解决,2018/7/12,2018/7/13
app端(#42),【重庆政企二期】技术人员端-故障检测存在多个异常业务号码时，选择一个业务号码申报成功后，返回到检测页面，页面显示异常,3,3,已关闭,4,黎兴,2018/7/12,Closed,2018/7/18,黎鹏飞,已解决,2018/7/18,2018/7/18
app端(#42),【重庆政企二期】技术人员端-工单列表也难存在多个工单时，页面显示异常,3,3,已关闭,0,黎兴,2018/7/12,Closed,2018/7/13,康忠飞,已解决,2018/7/12,2018/7/13
app端(#42),【重庆正切二期】技术人员端-检测正常页面显示不全,3,3,已关闭,0,黎兴,2018/7/13,Closed,2018/7/13,康忠飞,已解决,2018/7/13,2018/7/13
app端(#42),【重庆政企二期】技术人员端-公司名称过长时页面显示异常，检测完毕页面也会出现类似的问题,3,3,已关闭,0,黎兴,2018/7/13,Closed,2018/7/13,康忠飞,已解决,2018/7/13,2018/7/13
app端(#42),【重亲政企二期】技术人员端-检测页面申报工单按钮跳转回跳转到检测异常页面,3,3,已关闭,0,黎兴,2018/7/13,Closed,2018/7/13,康忠飞,已解决,2018/7/13,2018/7/13
app端(#42),【重庆政企二期】技术人员端-评价页面，选择星级时，无法选择五星,3,3,已关闭,0,黎兴,2018/7/13,Closed,2018/7/13,康忠飞,已解决,2018/7/13,2018/7/13
app端(#42),【重庆政企二期】技术人员端-评价管理，评价详情查看是时间显示异常，格式显示不对,3,3,已关闭,0,黎兴,2018/7/13,Closed,2018/7/17,朱健,已解决,2018/7/16,2018/7/17
app端(#42),【重庆政企二期】关键人端-文章详情显示的封面图片布局不合理（有点不对称）,3,3,已关闭,0,黎兴,2018/7/13,Closed,2018/7/13,康忠飞,已解决,2018/7/13,2018/7/13
app端(#42),【重庆政企二期】技术人员端-业务号码检测过程中无法查看得到业务号码信息,3,3,已关闭,0,黎兴,2018/7/13,Closed,2018/7/18,孙艳强,已解决,2018/7/18,2018/7/18
app端(#42),【重庆政企二期】关键人端-提交投诉数据时，TB_COMPLAIN_DETAIL的数据插入异常，QUESTION_ID字段插入不正确,3,3,已关闭,0,黎兴,2018/7/16,Closed,2018/7/16,杨滨舟,已解决,2018/7/16,2018/7/16
app端(#42),【重庆政企二期】技术人员端-设备检测时，异常检测按钮名称更改为故障申报,3,3,已关闭,0,黎兴,2018/7/16,Closed,2018/7/17,朱健,已解决,2018/7/16,2018/7/17
app端(#42),【重庆政企二期】技术人员端-工单评价接口传入到参数有误，缺少staffNo staffName参数,3,3,已关闭,1,黎兴,2018/7/16,Closed,2018/7/18,杨滨舟,已解决,2018/7/18,2018/7/18
app端(#42),【重庆政企二期】技术人员端-iphone8 plus 无法进行到技术人员端页面,3,3,已关闭,0,黎兴,2018/7/17,Closed,2018/7/18,黎鹏飞,已解决,2018/7/18,2018/7/18
app端(#42),【重庆政企二期】关键人登录-使用不存在的关键人手机号码进行登录操作时，提示信息不准确,3,2,已关闭,0,黎兴,2018/7/23,Closed,2018/7/23,朱健,已解决,2018/7/23,2018/7/23
app端(#42),【重庆政企二期】关键人端-我的需求-需求页面无返回按钮,3,3,已关闭,0,黎兴,2018/7/19,Closed,2018/7/20,黎鹏飞,已解决,2018/7/19,2018/7/20
app端(#42),【重庆政企二期】关键人授权成功后跳转页面跳转错误，没有跳转到关键人登录页面,3,1,已关闭,0,黎兴,2018/7/19,Closed,2018/7/20,朱健,已解决,2018/7/20,2018/7/20
app端(#42),【重庆政企二期】关键人端-发起需求-需求上传大于5m的图片时，上传失败了还是可以显示出上传的图片信息，需求要求需求上传的图片不能大于5m，大于5M的直接提示不能上传，并且不要显示出图片,3,3,已关闭,0,黎兴,2018/7/20,Closed,2018/7/23,杨滨舟,已解决,2018/7/23,2018/7/23
app端(#42),【重庆政企二期】关键人端-页面显示异常,3,3,已关闭,0,黎兴,2018/7/20,Closed,2018/7/23,朱健,已解决,2018/7/23,2018/7/23
app端(#42),【重庆政企二期】关键人管理-关键人数据重复导入，时无任何响应（无任何请求信息）,3,3,已关闭,1,黎兴,2018/7/20,Closed,2018/7/24,黎兴,已解决,2018/7/24,2018/7/24
app端(#42),【重庆政企二期】技术人员端-不同企业的设备进行检测操作时，检测时间间隔会受到同一时间间隔影响,3,3,已关闭,0,黎兴,2018/7/20,Closed,2018/7/24,朱健,已解决,2018/7/23,2018/7/24
app端(#42),【重庆政企二期】关键人端-文章列表显示的文章状态顺序不合理，未读文章应该显示在前,3,2,已关闭,0,黎兴,2018/7/23,Closed,2018/7/23,杨滨舟,已解决,2018/7/23,2018/7/23
app端(#42),【重庆政企二期】关键人页面-数据量过大时，有未读文章时，红点显示异常,3,3,已关闭,1,黎兴,2018/7/25,Closed,2018/7/27,朱健,已解决,2018/7/27,2018/7/27
app端(#42),【重庆政企二期-客户经理】客户经理登录-客户经理登录页面提示信息未进行相关修改操作,3,3,已关闭,0,黎兴,2018/8/7,Closed,2018/8/13,朱健,已解决,2018/8/10,2018/8/13
app端(#42),【重庆政企二期-客户经理】客户经理重复绑码-客户经理重复绑码时，提示信息有误，之前的码未作废,3,3,已关闭,1,黎兴,2018/8/7,Closed,2018/8/15,朱健,已解决,2018/8/14,2018/8/15
app端(#42),【重庆政企二期-客户经理】关键人新增页面-点击“跳过关键人新增链接”时，数据库会向关键人表中插入一条错误的数据信息,3,2,已关闭,0,黎兴,2018/8/7,Closed,2018/8/13,黎兴,已解决,2018/8/13,2018/8/13
app端(#42),【重庆政企二期-客户经理】新增关键人-新增关键人号码格式有误时，提示信息有误,3,3,已关闭,0,黎兴,2018/8/7,Closed,2018/8/13,黎兴,已解决,2018/8/13,2018/8/13
app端(#42),【重庆政企二期-客户经理】关键人添加-添加关键人时没有对字段进行校验，不合法的字段也可以添加成功，如手机号码不合法，已存在的关键人,3,3,已关闭,0,黎兴,2018/8/7,Closed,2018/8/13,黎兴,已解决,2018/8/13,2018/8/13
app端(#42),【重庆政企二期-客户经理】添加关键人-客户经理成功关键人后，客户经理列表的管理客户字段数量没有+1,3,3,已关闭,0,黎兴,2018/8/7,Closed,2018/8/13,黎兴,已解决,2018/8/13,2018/8/13
app端(#42),【重庆政企二期-客户经理】添加客户信息-添加客户信息时，页面跳转有误，无法跳转到客户经理首页,3,3,已关闭,0,黎兴,2018/8/7,Closed,2018/8/9,朱健,已解决,2018/8/8,2018/8/9
app端(#42),【重庆政企二期-客户经理】业务号码搜索-无法显示出搜索结果,3,3,已关闭,0,黎兴,2018/8/7,Closed,2018/8/9,朱健,已解决,2018/8/8,2018/8/9
app端(#42),【重庆政企二期-客户经理】业务号码搜索-业务号码为空搜索时，提示内容不准确，输入的是业务号码，提示的是客户经理手机号码不能为空,3,2,已关闭,0,黎兴,2018/8/7,Closed,2018/8/9,朱健,已解决,2018/8/8,2018/8/9
app端(#42),【重庆政企二期-装维端】引导页面-解码引导页面标题显示不准确,3,3,已关闭,0,黎兴,2018/8/7,Closed,2018/8/9,朱健,已解决,2018/8/8,2018/8/9
app端(#42),【重庆政企二期-客户经理】业务号码搜索-搜索不存在的业务号码时，还是可以进入到企业信息页面，业务号码不存在时应该给出提示信息，并且不能进入到企业信息页面,3,2,已关闭,0,黎兴,2018/8/7,Closed,2018/8/9,朱健,已解决,2018/8/8,2018/8/9
app端(#42),【重庆政企二期-客户经理】知识库列表-知识库列表的文章信息显示不全，应该还要显示文章的大小和文章的对应格式的图标,3,3,已关闭,0,黎兴,2018/8/7,Closed,2018/8/13,朱健,已解决,2018/8/10,2018/8/13
app端(#42),【重庆政企二期-客户经理】知识库列表-阅读一遍PDF格式的文章后，再次阅读其他文章时，还是会显示的是上次阅读的PDF文章的内容,3,2,已关闭,0,黎兴,2018/8/7,Closed,2018/8/13,黎兴,已解决,2018/8/13,2018/8/13
app端(#42),【重庆政企二期-客户经理】客户删除-请求参数应该传入TB_CUST_COMPANY的id而不是公司编码,3,2,已关闭,0,黎兴,2018/8/9,Closed,2018/8/13,朱健,已解决,2018/8/10,2018/8/13
app端(#42),【重庆政企二期-客户经理】企业信息-查看设备教程时，点击返回按钮后，无法返回到设备列表页面，对此进行返回操作时，设备列表提示异常,3,3,已关闭,0,黎兴,2018/8/9,Closed,2018/8/13,朱健,已解决,2018/8/10,2018/8/13
app端(#42),【重庆政企二期-客户经理】客户经理添加删除-对客户经理进行删除或添加时，没有弹出对应的而删除对话框，不符合需求设计,3,3,已关闭,0,黎兴,2018/8/9,Closed,2018/8/13,朱健,无法重现,2018/8/10,2018/8/13
app端(#42),【重庆政企二期-客户经理】企业信息-客户经理查看业务号码时，无法查看得到业务号码信息，调用的接口有误，应该和装维端的保持一致,3,3,已关闭,0,黎兴,2018/8/9,Closed,2018/8/13,朱健,已解决,2018/8/10,2018/8/13
app端(#42),【重庆政企】关键人登录-关键人登录获取验证码的时间限制，包含在客户经理获取验证码的时间内，不同账号类型的登录应该不受影响,3,2,已关闭,0,黎兴,2018/8/10,Closed,2018/8/10,朱健,已解决,2018/8/10,2018/8/10
app端(#42),【重庆政企二期-客户经理】企业信息-存在设备信息时，查看设备列表页面，页面样式显示异常，没有和装维端保持一致,3,3,已关闭,1,黎兴,2018/8/13,Closed,2018/8/13,黎兴,已解决,2018/8/13,2018/8/13
app端(#42),【重庆政企二期-客户经理】客户经理首页-点击搜索框后，弹出的键盘会把知识库的图标往上顶,3,3,已关闭,0,黎兴,2018/8/14,Closed,2018/8/15,朱健,已解决,2018/8/14,2018/8/15
app端(#42),【重庆政企二期-客户经理】知识库文章阅读-PDF文件无法进行在线阅读操作,3,3,已关闭,0,黎兴,2018/8/14,Closed,2018/8/15,黎兴,已解决,2018/8/15,2018/8/15
app端(#42),【重庆政企二期-客户经理】客户经理首页-客户经理未添加有相关的客户时，客户数量显示异常，没有客户时应该显示为“0家客户”,3,3,已关闭,0,黎兴,2018/8/14,Closed,2018/8/15,朱健,已解决,2018/8/14,2018/8/15
app端(#42),【重庆】企业信息-联系方式不可编辑（用户提出的bug单中需可编辑）,3,1,激活,0,黎兴,2018/6/1,康忠飞,2018/6/12,,,0000-00-00,0000-00-00
app端(#42),【重庆】设备添加-无设备页面显示异常,3,3,激活,0,黎兴,2018/6/1,康忠飞,2018/7/11,,,0000-00-00,0000-00-00
app端(#42),【重庆政企】用户端-工单查询-订单列表显示的提交时间异常,3,3,激活,0,黎兴,2018/6/15,康忠飞,2018/7/3,,,0000-00-00,0000-00-00
app端(#42),【重庆政企】解绑-扫码解绑-解绑扫描未绑定设备的二维码时，页面提示“设备串码不存在”，提示信息不准确,4,2,激活,0,黎兴,2018/6/19,康忠飞,2018/7/11,,,0000-00-00,0000-00-00
app端(#42),【重庆政企二期-客户经理】知识库管理-文件上传时，只提交一次上传操作时，后台却插入了多条文件上传记录,3,3,激活,0,黎兴,2018/8/15,黎鹏飞,2018/8/15,,,0000-00-00,0000-00-00
app端(#42),【重庆政企二期-客户经理】知识库列表-Word格式的文章阅读后，内容无法完全查看（ios）Android不会出现,3,2,激活,0,黎兴,2018/8/15,黎鹏飞,2018/8/15,,,0000-00-00,0000-00-00
app端(#42),【重庆政企二期】技术人员端-检测时间间隔未做限制,3,3,已解决,4,黎兴,2018/7/12,黎兴,2018/8/15,孙艳强,设计如此,2018/8/15,0000-00-00
app端(#42),【重庆政企二期-客户经理】企业信息-业务号码列表在在加载时，页面显示异常,4,4,激活,0,黎兴,2018/8/14,黎兴,2018/8/14,,,0000-00-00,0000-00-00
app端(#42),【重庆政企】用户端-订单申报-订单申报功能无法实现,3,3,激活,0,黎兴,2018/6/11,王琪,2018/6/12,,,0000-00-00,0000-00-00
app端(#42),【陕西移动】用户端-排障教程-路由器设置-页面字体布局不合理，文本中涉及的编号没有整齐排序,4,3,激活,0,黎兴,2018/6/13,王琪,2018/6/13,,,0000-00-00,0000-00-00
app端(#42),【陕西移动】用户端-排障教程-路由器设置-页面无法加载出相关的图片信息,3,2,激活,0,黎兴,2018/6/13,王琪,2018/6/13,,,0000-00-00,0000-00-00
app端(#42),【重庆政企二期-客户经理】客户添加-成功添加客户经理时，提示信息显示不友好,3,3,激活,2,黎兴,2018/8/13,朱健,2018/8/15,,,0000-00-00,0000-00-00
app端(#42),【重庆政企二期-客户经理】企业信息-客户经理新增客户时进入到设备列表页面，查看设备箱时进入到设备详情页面，页面样式显示异常,3,2,激活,2,黎兴,2018/8/14,朱健,2018/8/15,,,0000-00-00,0000-00-00
app端(#42),【重庆政企二期-客户经理】可以经理样式异常,3,2,激活,1,黎兴,2018/8/15,朱健,2018/8/15,,,0000-00-00,0000-00-00
web端后台管理系统(#43),【重庆政企】权限管理-人员信息-编辑账号时，提示信息显示不一致,3,3,已关闭,0,黎兴,2018/6/8,Closed,2018/6/11,王琪,已解决,2018/6/8,2018/6/11
web端后台管理系统(#43),【重庆政企】权限管理-人员信息，成功编辑后重新加载页面，再次点击编辑账号按钮，按钮无任何响应,2,2,已关闭,0,黎兴,2018/6/8,Closed,2018/6/11,王琪,已解决,2018/6/8,2018/6/11
web端后台管理系统(#43),【重庆政企】权限管理-人员信息-编辑账号时，所属区域可以为空保存,3,3,已关闭,0,黎兴,2018/6/8,Closed,2018/6/11,王琪,已解决,2018/6/8,2018/6/11
web端后台管理系统(#43),【重庆政企】权限管理-角色管理-权限设置不包含“投诉管理”模块,3,3,已关闭,0,黎兴,2018/6/8,Closed,2018/6/12,王琪,已解决,2018/6/11,2018/6/12
web端后台管理系统(#43),【重庆政企】业务管理-设备管理-编辑设备时设备相关信息字段显示异常,3,3,已关闭,0,黎兴,2018/6/8,Closed,2018/6/11,王琪,已解决,2018/6/11,2018/6/11
web端后台管理系统(#43),【重庆政企】业务管理-设备管理-编辑设备时设备字段显示为空,3,3,已关闭,0,黎兴,2018/6/8,Closed,2018/6/11,王琪,已解决,2018/6/11,2018/6/11
web端后台管理系统(#43),【重庆政企】业务管理-绑码查询-直接点击查询按钮时，相关字段信息显示异常,3,3,已关闭,0,黎兴,2018/6/8,Closed,2018/6/11,王琪,已解决,2018/6/11,2018/6/11
web端后台管理系统(#43),【重庆政企】业务管理-投诉管理-查询功能无效,3,3,已关闭,0,黎兴,2018/6/8,Closed,2018/6/28,王琪,已解决,2018/6/11,2018/6/28
web端后台管理系统(#43),【重庆政企二期】删除教程接口-传入不存在的id，后台也会返回删除成功的结果,3,3,已关闭,0,黎兴,2018/6/28,Closed,2018/7/3,杨滨舟,不予解决,2018/7/3,2018/7/3
web端后台管理系统(#43),【重庆政企二期】教程添加接口-教程各个字段可以为空添加，应该做必要的验证,3,3,已关闭,0,黎兴,2018/6/28,Closed,2018/7/11,康忠飞,已解决,2018/7/11,2018/7/11
web端后台管理系统(#43),【重庆政企二期】修改设备教程接口-修改设备教程接口后，数据的的设备创建时间字段会变成null值,3,3,已关闭,0,黎兴,2018/6/28,Closed,2018/7/4,杨滨舟,已解决,2018/7/4,2018/7/4
web端后台管理系统(#43),【重庆政企二期】添加文章接口-添加文章时isShow参数传入为0时，实际插入数据库是isShow值变成了1,3,3,已关闭,0,黎兴,2018/6/28,Closed,2018/7/3,杨滨舟,不予解决,2018/7/3,2018/7/3
web端后台管理系统(#43),【重庆政企二期】文章推送接口-文章articleId不存在也可以推送成功,3,3,已关闭,0,黎兴,2018/6/28,Closed,2018/7/4,杨滨舟,已解决,2018/7/4,2018/7/4
web端后台管理系统(#43),【重庆政企二期】教程添加-教程标题和正文可以为空添加,3,3,已关闭,1,黎兴,2018/7/2,Closed,2018/7/11,康忠飞,已解决,2018/7/11,2018/7/11
web端后台管理系统(#43),【重庆政企二期】编辑设备教程-设备教程编辑异常，编辑设备教程后保存CREATE_TIME、IS_SHOW字段为空,3,2,已关闭,1,黎兴,2018/7/2,Closed,2018/7/10,杨滨舟,已解决,2018/7/9,2018/7/10
web端后台管理系统(#43),【重庆政企二期】教程搜索-教程搜索设计不合理,3,3,已关闭,1,黎兴,2018/7/2,Closed,2018/7/13,朱健,已解决,2018/7/12,2018/7/13
web端后台管理系统(#43),【重庆政企二期】教程翻页-教程列表进行翻页操作时，页面会提示请求异常的错误信息，后台无报错信息，前端也没有报错信息,3,3,已关闭,0,黎兴,2018/7/2,Closed,2018/7/11,康忠飞,已解决,2018/7/11,2018/7/11
web端后台管理系统(#43),【重庆政企二期】教程删除-删除教程时执行了delete操作，需求是执行update操作，只需要把is_show字段更新为0即可,3,3,已关闭,0,黎兴,2018/7/2,Closed,2018/7/4,杨滨舟,已解决,2018/7/4,2018/7/4
web端后台管理系统(#43),【重庆政企二期】教程删除-建议做个批量删除教程操作,4,4,已关闭,0,黎兴,2018/7/2,Closed,2018/7/11,杨滨舟,不予解决,2018/7/11,2018/7/11
